Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/3/2020 11:31:12,ABEVELL,ROLO101520004083,CONTOUR / OCCLUSION,OCCLUSAL TOO HIGH AT BUCCAL CUSP,POST CAM
3/3/2020 13:01:08,ABEVELL,SARA101520007599,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/3/2020 13:04:24,TSCHAFFER,ROLO101520007480,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE FIT,POST CAM
3/3/2020 13:08:41,TSCHAFFER,ROLO101520007819,"FIT -- tight, loose, rocks, etc., etc., ...",POOR FIT,POST CAM
3/3/2020 13:14:53,ABEVELL,ROLO101520007857,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/3/2020 13:55:12,DROMIE,ROLO101520007366,OTHER,ABUTMENT ISSUE - SCREW STUCK,POST CAM
3/3/2020 14:26:53,DROMIE,ROLO101520007831,Redesign / Design related,OCCLUSION TOO THIN,POST CAM
3/3/2020 14:46:15,DROMIE,EMI101520007758,OTHER,MISSPRESS,POST CAM
3/3/2020 14:48:12,DROMIE,ROLO101520006349,Redesign / Design related,REDESIGN WITH SCREW HOLE,POST CAM
3/3/2020 16:13:39,DROMIE,SARA101520007956,MILLING / NESTING ERROR,#2 WASN'T MILLED,IN CAM
3/3/2020 17:06:16,DROMIE,SARA101520007990,BROKEN / CHIPPED / CRACKED,#29 CRACKED AT GREENSTATE,IN CAM
3/3/2020 17:20:32,DROMIE,ROLO101520007902,BROKEN / CHIPPED / CRACKED,CRACKED IN GREENSTATE,IN CAM
3/3/2020 17:55:37,DROMIE,SARA101520006962,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,IN CAM
3/3/2020 18:34:39,DROMIE,ROLO101520006962,MILLING / NESTING ERROR,AGGRESSIVE NESTING,IN CAM
3/3/2020 18:49:24,DROMIE,SARA101520007771,MARGIN ISSUE,ADJUSTED TO SHORT AT FINISHING,POST CAM
3/3/2020 19:18:49,DROMIE,SARA101520004876,Redesign / Design related,REDESIGN,POST CAM
3/4/2020 12:23:41,ABEVELL,ROLO101520006349,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/4/2020 13:38:06,ABEVELL,ROLO101520005833,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/4/2020 13:43:29,ABEVELL,SARA101520007791,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/4/2020 15:04:58,DROMIE,ROLO101520005876,MILLING / NESTING ERROR,"BROKE IN HALF, NOT A GOOD ENOUGH SPRUE PLACEMENT.",IN CAM
3/4/2020 17:32:46,DROMIE,SARA101520008089,BROKEN / CHIPPED / CRACKED,SHATTERED AT GREENSTATE,IN CAM
3/4/2020 17:33:12,DROMIE,SARA101520008154,BROKEN / CHIPPED / CRACKED,CHIPPED AT GREENSTATE,IN CAM
3/4/2020 20:44:53,DROMIE,SARA101520008102,BROKEN / CHIPPED / CRACKED,SHATTERED AT GREENSTATE,IN CAM
3/5/2020 5:50:01,DLOPEZ,SARA101520005876,LOST / MISSING,NOT MATCHED,IN CAM
3/5/2020 7:18:08,ABEVELL,ROLO101520008154,BROKEN / CHIPPED / CRACKED,MARGIN ISSUES,POST CAM
3/5/2020 8:13:04,ABEVELL,ROLO101520008255,MILLING / NESTING ERROR,7&8,IN CAM
3/5/2020 8:46:35,TSCHAFFER,ROLO101520007819,"FIT -- tight, loose, rocks, etc., etc., ...",POOR FIT,POST CAM
3/5/2020 10:56:30,TSCHAFFER,ROLO101520007368,BROKEN / CHIPPED / CRACKED,BROKEN IN GREENSTATE,IN CAM
3/5/2020 11:03:00,abevell,SARA101520008157,"FIT -- tight, loose, rocks, etc., etc., ...",poor,POST CAM
3/5/2020 11:20:58,TSCHAFFER,SARA101520008275,MARGIN ISSUE,CHIPPED MARGIN,POST CAM
3/5/2020 12:25:44,ABEVELL,SARA101520008609,MILLING / NESTING ERROR,DIDNT FINISHING MILLING CAVITY,IN CAM
3/5/2020 14:04:24,DROMIE,ROLO101520008157,SHADE / MATERIAL INCORRECT or CHANGED,MILLED TOO LIGHT (A1),IN CAM
3/5/2020 14:14:03,DROMIE,SARA101520008275,SHADE / MATERIAL INCORRECT or CHANGED,MILLED IN A1(SUPPOSED TO BE B1),IN CAM
3/5/2020 15:38:02,DROMIE,SARA101520008430,BROKEN / CHIPPED / CRACKED,SPRUE SHATTERED AT GREENSTATE,IN CAM
3/5/2020 16:27:31,DROMIE,SARA101520008275,BROKEN / CHIPPED / CRACKED,CHIPPED AT GREENSTATE,IN CAM
3/5/2020 17:08:16,DROMIE,ROLO101520008498,BROKEN / CHIPPED / CRACKED,CHIPPED IN GREENSTATE,IN CAM
